paradigm,subject,fold,permute_k,split,calib_size,seed,n_half_a,n_half_b,baseline_a,baseline_b,adapted_b,delta_b
mi,105,version_29,17,stratified,100,46,67,67,0.7382739212007504,0.7091932457786116,0.8527204502814258,0.1435272045028142
mi,105,version_29,17,stratified,200,42,17,17,0.5428571428571429,0.5303030303030303,0.8787878787878788,0.3484848484848485
mi,105,version_29,17,stratified,200,43,17,17,0.7714285714285714,0.4090909090909091,0.8939393939393939,0.4848484848484848
mi,105,version_29,17,stratified,200,44,17,17,0.7857142857142857,0.7575757575757576,0.8181818181818182,0.06060606060606066
mi,105,version_29,17,stratified,200,45,17,17,0.6666666666666667,0.7142857142857143,0.7714285714285714,0.05714285714285705
mi,105,version_29,17,stratified,200,46,17,17,0.8939393939393939,0.41428571428571426,0.5285714285714286,0.11428571428571432
mi,105,version_30,0,stratified,10,42,112,112,0.7526120660599932,0.8870913380519043,0.6879002359285473,-0.199191102123357
mi,105,version_30,0,stratified,10,43,112,112,0.8415908324907313,0.7890124705089316,0.6016177957532862,-0.18739467475564542
mi,105,version_30,0,stratified,10,44,112,112,0.8496798112571621,0.7765419615773509,0.7162116616110549,-0.06033029996629602
mi,105,version_30,0,stratified,10,45,112,112,0.81664981462757,0.7987866531850354,0.6740815638692281,-0.12470508931580726
mi,105,version_30,0,stratified,10,46,112,112,0.8496798112571621,0.7815975733063701,0.4378159757330637,-0.34378159757330645
mi,105,version_30,0,stratified,50,42,92,92,0.7757936507936507,0.8456140350877193,0.8115288220551379,-0.034085213032581385
mi,105,version_30,0,stratified,50,43,92,92,0.8338293650793651,0.8025062656641604,0.7954887218045112,-0.007017543859649145
mi,105,version_30,0,stratified,50,44,92,92,0.7872023809523809,0.8325814536340852,0.8516290726817043,0.01904761904761909
mi,105,version_30,0,stratified,50,45,92,92,0.7693452380952381,0.8225563909774436,0.8365914786967419,0.01403508771929829
mi,105,version_30,0,stratified,50,46,92,92,0.8511904761904763,0.8315789473684211,0.7814536340852131,-0.05012531328320802
mi,105,version_30,0,stratified,100,42,67,67,0.7673545966228893,0.8639774859287055,0.8555347091932457,-0.00844277673545979
mi,105,version_30,0,stratified,100,43,67,67,0.8405253283302064,0.8461538461538461,0.8367729831144466,-0.009380863039399556
mi,105,version_30,0,stratified,100,44,67,67,0.801125703564728,0.8461538461538463,0.7954971857410882,-0.05065666041275807
mi,105,version_30,0,stratified,100,45,67,67,0.8574108818011257,0.7711069418386491,0.7579737335834897,-0.013133208255159401
mi,105,version_30,0,stratified,100,46,67,67,0.8433395872420263,0.8470919324577861,0.8133208255159474,-0.03377110694183871
mi,105,version_30,0,stratified,200,42,17,17,0.8428571428571429,0.7272727272727273,0.7727272727272727,0.045454545454545414
mi,105,version_30,0,stratified,200,43,17,17,0.7999999999999999,0.7575757575757576,0.9696969696969697,0.21212121212121215
mi,105,version_30,0,stratified,200,44,17,17,0.7857142857142857,0.8484848484848484,0.803030303030303,-0.045454545454545414
mi,105,version_30,0,stratified,200,45,17,17,0.8181818181818181,0.9428571428571428,0.9857142857142858,0.04285714285714293
mi,105,version_30,0,stratified,200,46,17,17,0.9242424242424242,0.7428571428571429,0.8571428571428571,0.11428571428571421
mi,105,version_30,2,stratified,10,42,112,112,0.7532861476238626,0.8749578699022581,0.6632962588473206,-0.21166161105493753
mi,105,version_30,2,stratified,10,43,112,112,0.8233906302662621,0.8142905291540277,0.6285810583080553,-0.18570947084597234
mi,105,version_30,2,stratified,10,44,112,112,0.8422649140546006,0.7896865520728008,0.6626221772834513,-0.1270643747893495
mi,105,version_30,2,stratified,10,45,112,112,0.8021570610043816,0.8065385911695314,0.6511627906976745,-0.15537580047185695
mi,105,version_30,2,stratified,10,46,112,112,0.8291203235591507,0.8065385911695315,0.566902595214021,-0.23963599595551055
mi,105,version_30,2,stratified,50,42,92,92,0.7638888888888888,0.8486215538847117,0.8055137844611528,-0.04310776942355887
mi,105,version_30,2,stratified,50,43,92,92,0.8452380952380952,0.7984962406015037,0.768922305764411,-0.029573934837092697
mi,105,version_30,2,stratified,50,44,92,92,0.8129960317460317,0.8270676691729324,0.8230576441102757,-0.004010025062656686
mi,105,version_30,2,stratified,50,45,92,92,0.7703373015873015,0.8385964912280702,0.8390977443609023,0.0005012531328321135
mi,105,version_30,2,stratified,50,46,92,92,0.824404761904762,0.8350877192982457,0.7954887218045112,-0.03959899749373441
mi,105,version_30,2,stratified,100,42,67,67,0.7804878048780488,0.8330206378986866,0.8142589118198874,-0.018761726078799223
mi,105,version_30,2,stratified,100,43,67,67,0.8574108818011257,0.8621013133208255,0.8724202626641651,0.010318949343339545
