paradigm,subject,fold,permute_k,split,calib_size,seed,n_half_a,n_half_b,baseline_a,baseline_b,adapted_b,delta_b
als,1,version_37,0,stratified,96,46,2052,2052,0.5454293628808864,0.5804999829007216,0.5373388393009815,-0.043161143599740104
als,1,version_37,0,stratified,240,42,1980,1980,0.5596124885215794,0.5706740128558311,0.5474655647382919,-0.023208448117539193
als,1,version_37,0,stratified,240,43,1980,1980,0.5701377410468319,0.5565068870523415,0.5382350780532599,-0.01827180899908165
als,1,version_37,0,stratified,240,44,1980,1980,0.5622084481175391,0.5581046831955923,0.5227180899908173,-0.035386593204774996
als,1,version_37,0,stratified,240,45,1980,1980,0.5508301193755739,0.5891000918273646,0.46845362718089983,-0.12064646464646472
als,1,version_37,0,stratified,240,46,1980,1980,0.5557667584940312,0.5657134986225896,0.5461726354453627,-0.01954086317722692
als,1,version_37,0,stratified,480,42,1860,1860,0.5523454734651405,0.5776139438085328,0.5695900104058272,-0.008023933402705574
als,1,version_37,0,stratified,480,43,1860,1860,0.5443225806451614,0.5766118626430801,0.5659417273673257,-0.010670135275754333
als,1,version_37,0,stratified,480,44,1860,1860,0.5577356919875129,0.5634984391259106,0.5459250780437045,-0.017573361082206085
als,1,version_37,0,stratified,480,45,1860,1860,0.5910322580645162,0.5507513007284078,0.47700000000000004,-0.0737513007284078
als,1,version_37,0,stratified,480,46,1860,1860,0.5639698231009366,0.556162330905307,0.549627471383975,-0.006534859521331926
als,1,version_38,0,stratified,24,42,2088,2088,0.5499521072796936,0.5652150217994452,0.5177764565992865,-0.047438565200158656
als,1,version_38,0,stratified,24,43,2088,2088,0.5605504359889021,0.5559981503501124,0.4815439622142951,-0.07445418813581728
als,1,version_38,0,stratified,24,44,2088,2088,0.5702148566521337,0.5432537323292377,0.5298024838155635,-0.013451248513674186
als,1,version_38,0,stratified,24,45,2088,2088,0.5615058131853613,0.5560460430704188,0.4736251486325802,-0.08242089443783862
als,1,version_38,0,stratified,24,46,2088,2088,0.5757894041485004,0.5407740454485401,0.4557322631787554,-0.0850417822697847
als,1,version_38,0,stratified,48,42,2076,2076,0.5584048915767317,0.5588768418590664,0.5166778041364563,-0.04219903772261013
als,1,version_38,0,stratified,48,43,2076,2076,0.5680627485047947,0.5484897590965284,0.47881152059875043,-0.06967823849777799
als,1,version_38,0,stratified,48,44,2076,2076,0.56685071335494,0.5441628520832638,0.5318737679174046,-0.012289084165859165
als,1,version_38,0,stratified,48,45,2076,2076,0.5629247552541013,0.5553225968124562,0.4810902469177052,-0.07423234989475103
als,1,version_38,0,stratified,48,46,2076,2076,0.5639296334658692,0.5493225634000468,0.46595609609408933,-0.08336646730595748
als,1,version_38,0,stratified,96,42,2052,2052,0.5449822167504532,0.5705960808453883,0.5220888478506207,-0.04850723299476756
als,1,version_38,0,stratified,96,43,2052,2052,0.5639735303170206,0.5524845251530386,0.5133579562942444,-0.039126568858794175
als,1,version_38,0,stratified,96,44,2052,2052,0.5636563387025068,0.5454242330973633,0.5481746520296844,0.002750418932321086
als,1,version_38,0,stratified,96,45,2052,2052,0.5637632091925721,0.5542525905406792,0.5016261413768339,-0.05262644916384529
als,1,version_38,0,stratified,96,46,2052,2052,0.5387213159604665,0.575076946752847,0.48882391163092914,-0.0862530351219179
als,1,version_38,0,stratified,240,42,1980,1980,0.5681083562901744,0.5486629935720844,0.4828870523415978,-0.06577594123048658
als,1,version_38,0,stratified,240,43,1980,1980,0.5613608815426997,0.5484242424242424,0.5277759412304867,-0.020648301193755714
als,1,version_38,0,stratified,240,44,1980,1980,0.5553553719008265,0.5563360881542699,0.5278301193755739,-0.028505968778696045
als,1,version_38,0,stratified,240,45,1980,1980,0.550967860422406,0.5684692378328742,0.47498071625344357,-0.0934885215794306
als,1,version_38,0,stratified,240,46,1980,1980,0.5447603305785124,0.5604306703397612,0.5016014692378329,-0.05882920110192835
als,1,version_38,0,stratified,480,42,1860,1860,0.5457034339229969,0.575309053069719,0.4894079084287201,-0.0859011446409989
als,1,version_38,0,stratified,480,43,1860,1860,0.537729448491155,0.5624661810613943,0.5402101977107181,-0.022255983350676245
als,1,version_38,0,stratified,480,44,1860,1860,0.5608054110301769,0.5492840790842872,0.5204849115504683,-0.028799167533818948
als,1,version_38,0,stratified,480,45,1860,1860,0.571312174817898,0.5477003121748178,0.4840561914672217,-0.06364412070759617
als,1,version_38,0,stratified,480,46,1860,1860,0.547261186264308,0.5574526534859521,0.5379125910509885,-0.019540062434963534
als,1,version_39,0,stratified,24,42,2088,2088,0.5465566785572731,0.5588832738803012,0.5316323160258951,-0.02725095785440612
als,1,version_39,0,stratified,24,43,2088,2088,0.5447549213898798,0.5639194411414982,0.4532591821905139,-0.11066025895098425
als,1,version_39,0,stratified,24,44,2088,2088,0.5649078478002378,0.5401390540362003,0.5236540494120755,-0.016485004624124833
als,1,version_39,0,stratified,24,45,2088,2088,0.5457028669573258,0.5630714096974502,0.44007629805786763,-0.12299511163958254
als,1,version_39,0,stratified,24,46,2088,2088,0.5848625974369137,0.5237960760998811,0.483209472849782,-0.04058660325009911
